h,B_to_F_static,B_to_F_dynamic,B_to_F,F_to_B,noHIs
0.1,0.0851363057,0.1394361459,0.094085025,0.0181759364,0.1178511302
0.138,0.0934235101,0.1387506664,0.1042468004,0.0237700577,0.1178511302
0.176,0.0987570703,0.1381007199,0.1107926094,0.0287980413,0.1178511302
0.214,0.1024354368,0.1374844759,0.1152491565,0.0333371554,0.1178511302
0.252,0.1051001892,0.1369000545,0.1184009866,0.0374518719,0.1178511302
0.29,0.1071031458,0.1363455868,0.1206910963,0.0411963058,0.1178511302
0.328,0.1086525411,0.135819254,0.1223875766,0.0446161354,0.1178511302
0.366,0.1098790461,0.1353193114,0.1236615161,0.0477501255,0.1178511302
0.404,0.1108685386,0.1348441021,0.1246267725,0.0506313413,0.1178511302
0.442,0.1116796139,0.1343920635,0.1253617279,0.0532881242,0.1178511302
0.48,0.1123535116,0.1339617299,0.125921869,0.0557448787,0.1178511302
0.518,0.1129200233,0.1335517309,0.1263474021,0.0580227119,0.1178511302
0.556,0.1134011551,0.133160789,0.1266680427,0.0601399554,0.1178511302
0.594,0.1138134782,0.1327877155,0.1269061276,0.0621125941,0.1178511302
0.632,0.1141696821,0.132431405,0.1270786943,0.0639546197,0.1178511302
0.67,0.1144796286,0.1320908311,0.1271989047,0.0656783235,0.1178511302
0.708,0.1147510835,0.1317650406,0.1272770405,0.0672945405,0.1178511302
0.746,0.1149902338,0.1314531487,0.1273212127,0.0688128538,0.1178511302
0.784,0.1152020617,0.1311543337,0.1273378755,0.0702417659,0.1178511302
0.822,0.1153906173,0.1308678325,0.1273322046,0.0715888436,0.1178511302
0.86,0.115559222,0.1305929362,0.1273083784,0.07286084,0.1178511302
0.898,0.1157106213,0.1303289855,0.1272697912,0.0740637994,0.1178511302
0.936,0.1158471014,0.1300753675,0.1272192147,0.0752031454,0.1178511302
0.974,0.115970579,0.1298315113,0.1271589236,0.0762837577,0.1178511302
1.012,0.1160826709,0.1295968855,0.127090792,0.0773100368,0.1178511302
1.05,0.1161847488,0.1293709946,0.1270163701,0.0782859608,0.1178511302
1.088,0.1162779832,0.1291533763,0.1269369439,0.0792151337,0.1178511302
1.126,0.1163633773,0.1289435991,0.1268535836,0.0801008281,0.1178511302
1.164,0.1164417956,0.1287412597,0.1267671813,0.0809460213,0.1178511302
1.202,0.116513986,0.1285459812,0.1266784825,0.0817534281,0.1178511302
1.24,0.1165805982,0.1283574105,0.1265881107,0.082525528,0.1178511302
1.278,0.1166421993,0.1281752172,0.126496588,0.0832645903,0.1178511302
1.316,0.1166992854,0.1279990915,0.1264043516,0.0839726953,0.1178511302
1.354,0.1167522926,0.1278287426,0.1263117679,0.0846517536,0.1178511302
1.392,0.1168016054,0.1276638976,0.1262191435,0.0853035229,0.1178511302
1.43,0.1168475637,0.1275043001,0.1261267347,0.0859296226,0.1178511302
1.468,0.116890469,0.1273497088,0.1260347553,0.086531547,0.1178511302
1.506,0.1169305895,0.1271998967,0.1259433832,0.0871106774,0.1178511302
1.544,0.1169681645,0.1270546501,0.1258527659,0.087668292,0.1178511302
1.582,0.117003408,0.1269137674,0.125763025,0.0882055757,0.1178511302
1.62,0.1170365116,0.1267770586,0.1256742601,0.0887236282,0.1178511302
1.658,0.1170676479,0.1266443441,0.125586552,0.0892234712,0.1178511302
1.696,0.117096972,0.1265154546,0.1254999658,0.0897060558,0.1178511302
1.734,0.117124624,0.1263902298,0.1254145528,0.0901722678,0.1178511302
1.772,0.1171507308,0.1262685182,0.1253303527,0.0906229335,0.1178511302
1.81,0.1171754072,0.1261501762,0.1252473956,0.0910588246,0.1178511302
1.848,0.1171987575,0.126035068,0.1251657029,0.0914806625,0.1178511302
1.886,0.1172208766,0.1259230647,0.125085289,0.0918891223,0.1178511302
1.924,0.1172418511,0.1258140443,0.1250061622,0.0922848368,0.1178511302
1.962,0.11726176,0.1257078908,0.1249283256,0.092668399,0.1178511302
2.0,0.1172806754,0.125604494,0.1248517777,0.0930403659,0.1178511302
