time,U0,x0
0.00000,3.1210676992,0.0062421354
0.00200,3.1276890246,0.0124975134
0.00400,3.1335015991,0.0187645166
0.00600,3.1385135463,0.0250415437
0.00800,3.1427331417,0.0313270100
0.01000,3.1461687853,0.0376193476
0.01200,3.1488289756,0.0439170055
0.01400,3.1507222848,0.0502184501
0.01600,3.1518573369,0.0565221648
0.01800,3.1522427858,0.0628266504
0.02000,3.1518872967,0.0691304250
0.02200,3.1507995279,0.0754320240
0.02400,3.1489881147,0.0817300002
0.02600,3.1464616544,0.0880229235
0.02800,3.1432286938,0.0943093809
0.03000,3.1392977166,0.1005879764
0.03200,3.1346771332,0.1068573306
0.03400,3.1293752718,0.1131160812
0.03600,3.1234003703,0.1193628819
0.03800,3.1167605698,0.1255964031
0.04000,3.1094639086,0.1318153309
0.04200,3.1015183185,0.1380183675
0.04400,3.0929316209,0.1442042308
0.04600,3.0837115245,0.1503716538
0.04800,3.0738656240,0.1565193851
0.05000,3.0634013992,0.1626461878
0.05200,3.0523262153,0.1687508403
0.05400,3.0406473242,0.1748321349
0.05600,3.0283718655,0.1808888787
0.05800,3.0155068694,0.1869198924
0.06000,3.0020592594,0.1929240109
0.06200,2.9880358557,0.1989000826
0.06400,2.9734433791,0.2048469694
0.06600,2.9582884558,0.2107635463
0.06800,2.9425776217,0.2166487015
0.07000,2.9263173279,0.2225013362
0.07200,2.9095139461,0.2283203641
0.07400,2.8921737742,0.2341047116
0.07600,2.8743030424,0.2398533177
0.07800,2.8559079193,0.2455651336
0.08000,2.8369945182,0.2512391226
0.08200,2.8175689033,0.2568742604
0.08400,2.7976370962,0.2624695346
0.08600,2.7772050825,0.2680239448
0.08800,2.7562788182,0.2735365024
0.09000,2.7348642355,0.2790062309
0.09200,2.7129672500,0.2844321654
0.09400,2.6905937662,0.2898133529
0.09600,2.6677496837,0.2951488523
0.09800,2.6444409032,0.3004377341
0.10000,2.6206733317,0.3056790807
0.10200,2.5964528886,0.3108719865
0.10400,2.5717855101,0.3160155575
0.10600,2.5466771544,0.3211089118
0.10800,2.5211338064,0.3261511795
0.11000,2.4951614815,0.3311415024
0.11200,2.4687662300,0.3360790349
0.11400,2.4419541400,0.3409629432
0.11600,2.4147313412,0.3457924058
0.11800,2.3871040071,0.3505666139
0.12000,2.3590783577,0.3552847706
0.12200,2.3306606612,0.3599460919
0.12400,2.3018572357,0.3645498064
0.12600,2.2726744502,0.3690951553
0.12800,2.2431187252,0.3735813927
0.13000,2.2131965329,0.3780077858
0.13200,2.1829143974,0.3823736146
0.13400,2.1522788935,0.3866781724
0.13600,2.1212966461,0.3909207657
0.13800,2.0899743283,0.3951007143
0.14000,2.0583186600,0.3992173516
0.14200,2.0263364055,0.4032700244
0.14400,1.9940343705,0.4072580932
0.14600,1.9614193996,0.4111809320
0.14800,1.9284983726,0.4150379287
0.15000,1.8952782009,0.4188284851
0.15200,1.8617658237,0.4225520168
0.15400,1.8279682032,0.4262079532
0.15600,1.7938923208,0.4297957378
0.15800,1.7595451716,0.4333148282
0.16000,1.7249337599,0.4367646957
0.16200,1.6900650938,0.4401448259
0.16400,1.6549461800,0.4434547182
0.16600,1.6195840184,0.4466938863
0.16800,1.5839855963,0.4498618575
0.17000,1.5481578833,0.4529581732
0.17200,1.5121078254,0.4559823889
0.17400,1.4758423393,0.4589340736
0.17600,1.4393683073,0.4618128102
0.17800,1.4026925715,0.4646181953
0.18000,1.3658219287,0.4673498392
0.18200,1.3287631251,0.4700073654
0.18400,1.2915228510,0.4725904111
0.18600,1.2541077367,0.4750986266
0.18800,1.2165243473,0.4775316753
0.19000,1.1787791788,0.4798892337
0.19200,1.1408786540,0.4821709910
0.19400,1.1028291185,0.4843766492
0.19600,1.0646368381,0.4865059229
0.19800,1.0263079952,0.4885585389
0.20000,0.9878486866,0.4905342362
0.20200,0.9492649211,0.4924327661
0.20400,0.9105626180,0.4942538913
0.20600,0.8717476059,0.4959973865
0.20800,0.8328256214,0.4976630378
0.21000,0.7938023093,0.4992506424
0.21200,0.7546832223,0.5007600088
0.21400,0.7154738217,0.5021909565
0.21600,0.6761794785,0.5035433154
0.21800,0.6368054747,0.5048169264
0.22000,0.5973570055,0.5060116404
0.22200,0.5578391815,0.5071273188
0.22400,0.5182570316,0.5081638328
0.22600,0.4786155063,0.5091210638
0.22800,0.4389194817,0.5099989028
0.23000,0.3991737629,0.5107972503
0.23200,0.3593830891,0.5115160165
0.23400,0.3195521382,0.5121551208
0.23600,0.2796855318,0.5127144918
0.23800,0.2397878411,0.5131940675
0.24000,0.1998635919,0.5135937947
0.24200,0.1599172713,0.5139136293
0.24400,0.1199533335,0.5141535359
0.24600,0.0799762061,0.5143134883
0.24800,0.0399902968,0.5143934689
0.25000,-0.0000000000,0.5143934689
0.25200,-0.0399902968,0.5143134883
0.25400,-0.0799762061,0.5141535359
0.25600,-0.1199533335,0.5139136293
0.25800,-0.1599172713,0.5135937947
0.26000,-0.1998635919,0.5131940675
0.26200,-0.2397878411,0.5127144918
0.26400,-0.2796855318,0.5121551208
0.26600,-0.3195521382,0.5115160165
0.26800,-0.3593830891,0.5107972503
0.27000,-0.3991737629,0.5099989028
0.27200,-0.4389194817,0.5091210638
0.27400,-0.4786155063,0.5081638328
0.27600,-0.5182570316,0.5071273188
0.27800,-0.5578391815,0.5060116404
0.28000,-0.5973570055,0.5048169264
0.28200,-0.6368054747,0.5035433154
0.28400,-0.6761794785,0.5021909565
0.28600,-0.7154738217,0.5007600088
0.28800,-0.7546832223,0.4992506424
0.29000,-0.7938023093,0.4976630378
0.29200,-0.8328256214,0.4959973865
0.29400,-0.8717476059,0.4942538913
0.29600,-0.9105626180,0.4924327661
0.29800,-0.9492649211,0.4905342362
0.30000,-0.9878486866,0.4885585389
0.30200,-1.0263079952,0.4865059229
0.30400,-1.0646368381,0.4843766492
0.30600,-1.1028291185,0.4821709910
0.30800,-1.1408786540,0.4798892337
0.31000,-1.1787791788,0.4775316753
0.31200,-1.2165243473,0.4750986266
0.31400,-1.2541077367,0.4725904111
0.31600,-1.2915228510,0.4700073654
