time,U0,x0
0.00000,3.1087391276,0.0062174783
0.00200,3.1152875675,0.0124480534
0.00400,3.1210329207,0.0186901192
0.00600,3.1259831747,0.0249420856
0.00800,3.1301464723,0.0312023785
0.01000,3.1335310842,0.0374694407
0.01200,3.1361453823,0.0437417315
0.01400,3.1379978162,0.0500177271
0.01600,3.1390968901,0.0562959209
0.01800,3.1394511425,0.0625748232
0.02000,3.1390691258,0.0688529614
0.02200,3.1379593895,0.0751288802
0.02400,3.1361304637,0.0814011411
0.02600,3.1335908439,0.0876683228
0.02800,3.1303489782,0.0939290208
0.03000,3.1264132555,0.1001818473
0.03200,3.1217919945,0.1064254313
0.03400,3.1164934348,0.1126584181
0.03600,3.1105257290,0.1188794696
0.03800,3.1038969356,0.1250872635
0.04000,3.0966150138,0.1312804935
0.04200,3.0886878186,0.1374578691
0.04400,3.0801230976,0.1436181153
0.04600,3.0709284883,0.1497599723
0.04800,3.0611115163,0.1558821953
0.05000,3.0506795953,0.1619835545
0.05200,3.0396400262,0.1680628346
0.05400,3.0279999989,0.1741188346
0.05600,3.0157665930,0.1801503678
0.05800,3.0029467805,0.1861562613
0.06000,2.9895474288,0.1921353562
0.06200,2.9755753033,0.1980865068
0.06400,2.9610370721,0.2040085809
0.06600,2.9459393096,0.2099004595
0.06800,2.9302885017,0.2157610365
0.07000,2.9140910508,0.2215892186
0.07200,2.8973532807,0.2273839252
0.07400,2.8800814429,0.2331440881
0.07600,2.8622817222,0.2388686515
0.07800,2.8439602425,0.2445565720
0.08000,2.8251230733,0.2502068182
0.08200,2.8057762360,0.2558183706
0.08400,2.7859257100,0.2613902221
0.08600,2.7655774393,0.2669213769
0.08800,2.7447373385,0.2724108516
0.09000,2.7234112998,0.2778576742
0.09200,2.7016051982,0.2832608846
0.09400,2.6793248988,0.2886195344
0.09600,2.6565762617,0.2939326869
0.09800,2.6333651484,0.2991994172
0.10000,2.6096974272,0.3044188121
0.10200,2.5855789785,0.3095899700
0.10400,2.5610157002,0.3147120014
0.10600,2.5360135119,0.3197840285
0.10800,2.5105783601,0.3248051852
0.11000,2.4847162220,0.3297746176
0.11200,2.4584331093,0.3346914838
0.11400,2.4317350719,0.3395549540
0.11600,2.4046282010,0.3443642104
0.11800,2.3771186317,0.3491184477
0.12000,2.3492125453,0.3538168727
0.12200,2.3209161714,0.3584587051
0.12400,2.2922357894,0.3630431767
0.12600,2.2631777292,0.3675695321
0.12800,2.2337483725,0.3720370289
0.13000,2.2039541523,0.3764449372
0.13200,2.1738015535,0.3807925403
0.13400,2.1432971114,0.3850791345
0.13600,2.1124474114,0.3893040293
0.13800,2.0812590872,0.3934665475
0.14000,2.0497388191,0.3975660251
0.14200,2.0178933313,0.4016018118
0.14400,1.9857293901,0.4055732706
0.14600,1.9532538001,0.4094797782
0.14800,1.9204734013,0.4133207250
0.15000,1.8873950655,0.4170955151
0.15200,1.8540256919,0.4208035665
0.15400,1.8203722033,0.4244443109
0.15600,1.7864415415,0.4280171940
0.15800,1.7522406623,0.4315216753
0.16000,1.7177765309,0.4349572284
0.16200,1.6830561166,0.4383233406
0.16400,1.6480863873,0.4416195134
0.16600,1.6128743048,0.4448452620
0.16800,1.5774268185,0.4480001156
0.17000,1.5417508605,0.4510836174
0.17200,1.5058533399,0.4540953240
0.17400,1.4697411370,0.4570348063
0.17600,1.4334210981,0.4599016485
0.17800,1.3969000302,0.4626954486
0.18000,1.3601846953,0.4654158180
0.18200,1.3232818058,0.4680623816
0.18400,1.2861980191,0.4706347776
0.18600,1.2489399329,0.4731326575
0.18800,1.2115140809,0.4755556856
0.19000,1.1739269286,0.4779035395
0.19200,1.1361848688,0.4801759092
0.19400,1.0982942188,0.4823724977
0.19600,1.0602612163,0.4844930201
0.19800,1.0220920170,0.4865372041
0.20000,0.9837926920,0.4885047895
0.20200,0.9453692255,0.4903955280
0.20400,0.9068275132,0.4922091830
0.20600,0.8681733609,0.4939455297
0.20800,0.8294124840,0.4956043547
0.21000,0.7905505068,0.4971854557
0.21200,0.7515929628,0.4986886416
0.21400,0.7125452949,0.5001137322
0.21600,0.6734128571,0.5014605579
0.21800,0.6342009151,0.5027289598
0.22000,0.5949146490,0.5039187891
0.22200,0.5555591552,0.5050299074
0.22400,0.5161394496,0.5060621863
0.22600,0.4766604703,0.5070155072
0.22800,0.4371270819,0.5078897614
0.23000,0.3975440790,0.5086848495
0.23200,0.3579161910,0.5094006819
0.23400,0.3182480867,0.5100371781
0.23600,0.2785443792,0.5105942668
0.23800,0.2388096317,0.5110718861
0.24000,0.1990483629,0.5114699828
0.24200,0.1592650529,0.5117885129
0.24400,0.1194641493,0.5120274412
0.24600,0.0796500737,0.5121867414
0.24800,0.0398272278,0.5122663958
0.25000,-0.0000000000,0.5122663958
0.25200,-0.0398272278,0.5121867414
0.25400,-0.0796500737,0.5120274412
0.25600,-0.1194641493,0.5117885129
0.25800,-0.1592650529,0.5114699828
0.26000,-0.1990483629,0.5110718861
0.26200,-0.2388096317,0.5105942668
0.26400,-0.2785443792,0.5100371781
0.26600,-0.3182480867,0.5094006819
0.26800,-0.3579161910,0.5086848495
0.27000,-0.3975440790,0.5078897614
0.27200,-0.4371270819,0.5070155072
0.27400,-0.4766604703,0.5060621863
0.27600,-0.5161394496,0.5050299074
0.27800,-0.5555591552,0.5039187891
0.28000,-0.5949146490,0.5027289598
0.28200,-0.6342009151,0.5014605579
0.28400,-0.6734128571,0.5001137322
0.28600,-0.7125452949,0.4986886416
0.28800,-0.7515929628,0.4971854557
0.29000,-0.7905505068,0.4956043547
0.29200,-0.8294124840,0.4939455297
0.29400,-0.8681733609,0.4922091830
0.29600,-0.9068275132,0.4903955280
0.29800,-0.9453692255,0.4885047895
0.30000,-0.9837926920,0.4865372041
0.30200,-1.0220920170,0.4844930201
0.30400,-1.0602612163,0.4823724977
0.30600,-1.0982942188,0.4801759092
0.30800,-1.1361848688,0.4779035395
0.31000,-1.1739269286,0.4755556856
0.31200,-1.2115140809,0.4731326575
0.31400,-1.2489399329,0.4706347776
0.31600,-1.2861980191,0.4680623816
0.31800,-1.3232818058,0.4654158180
0.32000,-1.3601846953,0.4626954486
0.32200,-1.3969000302,0.4599016485
0.32400,-1.4334210981,0.4570348063
0.32600,-1.4697411370,0.4540953240
0.32800,-1.5058533399,0.4510836174
0.33000,-1.5417508605,0.4480001156
0.33200,-1.5774268185,0.4448452620
0.33400,-1.6128743048,0.4416195134
0.33600,-1.6480863873,0.4383233406
0.33800,-1.6830561166,0.4349572284
0.34000,-1.7177765309,0.4315216753
0.34200,-1.7522406623,0.4280171940
0.34400,-1.7864415415,0.4244443109
0.34600,-1.8203722033,0.4208035665
0.34800,-1.8540256919,0.4170955151
0.35000,-1.8873950655,0.4133207250
0.35200,-1.9204734013,0.4094797782
0.35400,-1.9532538001,0.4055732706
0.35600,-1.9857293901,0.4016018118
0.35800,-2.0178933313,0.3975660251
0.36000,-2.0497388191,0.3934665475
0.36200,-2.0812590872,0.3893040293
0.36400,-2.1124474114,0.3850791345
0.36600,-2.1432971114,0.3807925403
0.36800,-2.1738015535,0.3764449372
0.37000,-2.2039541523,0.3720370289
0.37200,-2.2337483725,0.3675695321
0.37400,-2.2631777292,0.3630431767
0.37600,-2.2922357894,0.3584587051
0.37800,-2.3209161714,0.3538168727
0.38000,-2.3492125453,0.3491184477
0.38200,-2.3771186317,0.3443642104
0.38400,-2.4046282010,0.3395549540
0.38600,-2.4317350719,0.3346914838
0.38800,-2.4584331093,0.3297746176
0.39000,-2.4847162220,0.3248051852
0.39200,-2.5105783601,0.3197840285
0.39400,-2.5360135119,0.3147120014
0.39600,-2.5610157002,0.3095899700
0.39800,-2.5855789785,0.3044188121
0.40000,-2.6096974272,0.2991994172
0.40200,-2.6333651484,0.2939326869
0.40400,-2.6565762617,0.2886195344
0.40600,-2.6793248988,0.2832608846
0.40800,-2.7016051982,0.2778576742
0.41000,-2.7234112998,0.2724108516
0.41200,-2.7447373385,0.2669213769
0.41400,-2.7655774393,0.2613902221
0.41600,-2.7859257100,0.2558183706
0.41800,-2.8057762360,0.2502068182
0.42000,-2.8251230733,0.2445565720
0.42200,-2.8439602425,0.2388686515
0.42400,-2.8622817222,0.2331440881
0.42600,-2.8800814429,0.2273839252
0.42800,-2.8973532807,0.2215892186
0.43000,-2.9140910508,0.2157610365
0.43200,-2.9302885017,0.2099004595
0.43400,-2.9459393096,0.2040085809
0.43600,-2.9610370721,0.1980865068
0.43800,-2.9755753033,0.1921353562
0.44000,-2.9895474288,0.1861562613
0.44200,-3.0029467805,0.1801503678
0.44400,-3.0157665930,0.1741188346
0.44600,-3.0279999989,0.1680628346
0.44800,-3.0396400262,0.1619835545
0.45000,-3.0506795953,0.1558821953
0.45200,-3.0611115163,0.1497599723
0.45400,-3.0709284883,0.1436181153
0.45600,-3.0801230976,0.1374578691
0.45800,-3.0886878186,0.1312804935
0.46000,-3.0966150138,0.1250872635
0.46200,-3.1038969356,0.1188794696
0.46400,-3.1105257290,0.1126584181
0.46600,-3.1164934348,0.1064254313
0.46800,-3.1217919945,0.1001818473
0.47000,-3.1264132555,0.0939290208
0.47200,-3.1303489782,0.0876683228
0.47400,-3.1335908439,0.0814011411
0.47600,-3.1361304637,0.0751288802
0.47800,-3.1379593895,0.0688529614
0.48000,-3.1390691258,0.0625748232
0.48200,-3.1394511425,0.0562959209
0.48400,-3.1390968901,0.0500177271
0.48600,-3.1379978162,0.0437417315
0.48800,-3.1361453823,0.0374694407
0.49000,-3.1335310842,0.0312023785
0.49200,-3.1301464723,0.0249420856
0.49400,-3.1259831747,0.0186901192
0.49600,-3.1210329207,0.0124480534
0.49800,-3.1152875675,0.0062174783
0.50000,-3.1087391276,-0.0000000000
0.50200,-3.1013797978,-0.0062027596
0.50400,-3.0932019904,-0.0123891636
0.50600,-3.0841983659,-0.0185575603
0.50800,-3.0743618673,-0.0247062840
0.51000,-3.0636857557,-0.0308336556
0.51200,-3.0521636480,-0.0369379828
0.51400,-3.0397895557,-0.0430175620
0.51600,-3.0265579253,-0.0490706778
0.51800,-3.0124636801,-0.0550956052
0.52000,-2.9975022626,-0.0610906097
0.52200,-2.9816696791,-0.0670539491
0.52400,-2.9649625444,-0.0729838741
0.52600,-2.9473781277,-0.0788786304
0.52800,-2.9289143990,-0.0847364592
0.53000,-2.9095700761,-0.0905555993
0.53200,-2.8893446721,-0.0963342887
0.53400,-2.8682385424,-0.1020707658
0.53600,-2.8462529322,-0.1077632716
0.53800,-2.8233900232,-0.1134100517
0.54000,-2.7996529797,-0.1190093576
0.54200,-2.7750459939,-0.1245594496
0.54400,-2.7495743301,-0.1300585983
0.54600,-2.7232443669,-0.1355050870
0.54800,-2.6960636382,-0.1408972143
0.55000,-2.6680408715,-0.1462332961
0.55200,-2.6391860244,-0.1515116681
0.55400,-2.6095103175,-0.1567306887
0.55600,-2.5790262651,-0.1618887413
0.55800,-2.5477477018,-0.1669842367
0.56000,-2.5156898056,-0.1720156163
0.56200,-2.4828691169,-0.1769813545
0.56400,-2.4493035532,-0.1818799616
0.56600,-2.4150124192,-0.1867099865
0.56800,-2.3800164119,-0.1914700193
0.57000,-2.3443376202,-0.1961586945
0.57200,-2.3079995198,-0.2007746936
0.57400,-2.2710269621,-0.2053167475
0.57600,-2.2334461571,-0.2097836398
0.57800,-2.1952846509,-0.2141742091
0.58000,-2.1565712968,-0.2184873517
0.58200,-2.1173362208,-0.2227220241
0.58400,-2.0776107804,-0.2268772457
0.58600,-2.0374275178,-0.2309521007
0.58800,-1.9968201071,-0.2349457409
0.59000,-1.9558232955,-0.2388573875
0.59200,-1.9144728387,-0.2426863332
0.59400,-1.8728054312,-0.2464319441
0.59600,-1.8308586310,-0.2500936613
0.59800,-1.7886707792,-0.2536710029
0.60000,-1.7462809158,-0.2571635647
0.60200,-1.7037286902,-0.2605710221
0.60400,-1.6610542687,-0.2638931306
0.60600,-1.6182982382,-0.2671297271
0.60800,-1.5755015073,-0.2702807301
0.61000,-1.5327052048,-0.2733461405
0.61200,-1.4899505764,-0.2763260417
0.61400,-1.4472788803,-0.2792205995
0.61600,-1.4047312818,-0.2820300620
0.61800,-1.3623487477,-0.2847547595
0.62000,-1.3201719412,-0.2873951034
0.62200,-1.2782411177,-0.2899515856
0.62400,-1.2365960222,-0.2924247777
0.62600,-1.1952757883,-0.2948153293
0.62800,-1.1543188400,-0.2971239669
0.63000,-1.1137627966,-0.2993514925
0.63200,-1.0736443803,-0.3014987813
0.63400,-1.0339993292,-0.3035667800
0.63600,-0.9948623124,-0.3055565046
0.63800,-0.9562668516,-0.3074690383
0.64000,-0.9182452463,-0.3093055288
0.64200,-0.8808285048,-0.3110671858
0.64400,-0.8440462799,-0.3127552783
0.64600,-0.8079268109,-0.3143711320
0.64800,-0.7724968701,-0.3159161257
0.65000,-0.7377817158,-0.3173916891
0.65200,-0.7038050505,-0.3187992992
0.65400,-0.6705889848,-0.3201404772
0.65600,-0.6381540065,-0.3214167852
0.65800,-0.6065189558,-0.3226298231
0.66000,-0.5757010048,-0.3237812251
0.66200,-0.5457156426,-0.3248726564
0.66400,-0.5165766651,-0.3259058098
0.66600,-0.4882961690,-0.3268824021
0.66800,-0.4608845506,-0.3278041712
0.67000,-0.4343505076,-0.3286728722
0.67200,-0.4087010453,-0.3294902743
0.67400,-0.3839414859,-0.3302581573
0.67600,-0.3600754796,-0.3309783082
0.67800,-0.3371050201,-0.3316525183
0.68000,-0.3150304601,-0.3322825792
0.68200,-0.2938505301,-0.3328702803
0.68400,-0.2735623576,-0.3334174050
0.68600,-0.2541614879,-0.3339257279
0.68800,-0.2356419053,-0.3343970118
0.69000,-0.2179960545,-0.3348330039
0.69200,-0.2012148623,-0.3352354336
0.69400,-0.1852877588,-0.3356060091
0.69600,-0.1702026983,-0.3359464145
0.69800,-0.1559461798,-0.3362583069
0.70000,-0.1425032659,-0.3365433134
0.70200,-0.1298576020,-0.3368030286
0.70400,-0.1179914333,-0.3370390115
0.70600,-0.1068856220,-0.3372527827
0.70800,-0.0965196633,-0.3374458220
0.71000,-0.0868717012,-0.3376195654
0.71200,-0.0779185437,-0.3377754025
0.71400,-0.0696356789,-0.3379146739
0.71600,-0.0619972915,-0.3380386685
0.71800,-0.0549762808,-0.3381486210
0.72000,-0.0485442809,-0.3382457096
0.72200,-0.0426716839,-0.3383310530
0.72400,-0.0373276669,-0.3384057083
0.72600,-0.0324802239,-0.3384706687
0.72800,-0.0280962030,-0.3385268611
0.73000,-0.0241413504,-0.3385751438
0.73200,-0.0205803614,-0.3386163046
0.73400,-0.0173769397,-0.3386510584
0.73600,-0.0144938643,-0.3386800462
0.73800,-0.0118930653,-0.3387038323
0.74000,-0.0095357079,-0.3387229037
0.74200,-0.0073822850,-0.3387376683
0.74400,-0.0053927162,-0.3387484537
0.74600,-0.0035264540,-0.3387555066
0.74800,-0.0017425959,-0.3387589918
0.75000,0.0000000000,-0.3387589918
0.75200,0.0017425959,-0.3387555066
0.75400,0.0035264540,-0.3387484537
0.75600,0.0053927162,-0.3387376683
0.75800,0.0073822850,-0.3387229037
0.76000,0.0095357079,-0.3387038323
0.76200,0.0118930653,-0.3386800462
0.76400,0.0144938643,-0.3386510584
0.76600,0.0173769397,-0.3386163046
0.76800,0.0205803614,-0.3385751438
0.77000,0.0241413504,-0.3385268611
0.77200,0.0280962030,-0.3384706687
0.77400,0.0324802239,-0.3384057083
0.77600,0.0373276669,-0.3383310530
0.77800,0.0426716839,-0.3382457096
0.78000,0.0485442809,-0.3381486210
0.78200,0.0549762808,-0.3380386685
0.78400,0.0619972915,-0.3379146739
0.78600,0.0696356789,-0.3377754025
0.78800,0.0779185437,-0.3376195654
0.79000,0.0868717012,-0.3374458220
0.79200,0.0965196633,-0.3372527827
0.79400,0.1068856220,-0.3370390115
0.79600,0.1179914333,-0.3368030286
0.79800,0.1298576020,-0.3365433134
0.80000,0.1425032659,-0.3362583069
0.80200,0.1559461798,-0.3359464145
0.80400,0.1702026983,-0.3356060091
0.80600,0.1852877588,-0.3352354336
0.80800,0.2012148623,-0.3348330039
0.81000,0.2179960545,-0.3343970118
0.81200,0.2356419053,-0.3339257279
0.81400,0.2541614879,-0.3334174050
0.81600,0.2735623576,-0.3328702803
0.81800,0.2938505301,-0.3322825792
0.82000,0.3150304601,-0.3316525183
0.82200,0.3371050201,-0.3309783082
0.82400,0.3600754796,-0.3302581573
0.82600,0.3839414859,-0.3294902743
0.82800,0.4087010453,-0.3286728722
0.83000,0.4343505076,-0.3278041712
0.83200,0.4608845506,-0.3268824021
0.83400,0.4882961690,-0.3259058098
0.83600,0.5165766651,-0.3248726564
0.83800,0.5457156426,-0.3237812251
0.84000,0.5757010048,-0.3226298231
0.84200,0.6065189558,-0.3214167852
0.84400,0.6381540065,-0.3201404772
0.84600,0.6705889848,-0.3187992992
0.84800,0.7038050505,-0.3173916891
0.85000,0.7377817158,-0.3159161257
0.85200,0.7724968701,-0.3143711320
0.85400,0.8079268109,-0.3127552783
0.85600,0.8440462799,-0.3110671858
0.85800,0.8808285048,-0.3093055288
0.86000,0.9182452463,-0.3074690383
0.86200,0.9562668516,-0.3055565046
0.86400,0.9948623124,-0.3035667800
0.86600,1.0339993292,-0.3014987813
0.86800,1.0736443803,-0.2993514925
0.87000,1.1137627966,-0.2971239669
0.87200,1.1543188400,-0.2948153293
0.87400,1.1952757883,-0.2924247777
0.87600,1.2365960222,-0.2899515856
0.87800,1.2782411177,-0.2873951034
0.88000,1.3201719412,-0.2847547595
0.88200,1.3623487477,-0.2820300620
0.88400,1.4047312818,-0.2792205995
0.88600,1.4472788803,-0.2763260417
0.88800,1.4899505764,-0.2733461405
0.89000,1.5327052048,-0.2702807301
0.89200,1.5755015073,-0.2671297271
0.89400,1.6182982382,-0.2638931306
0.89600,1.6610542687,-0.2605710221
0.89800,1.7037286902,-0.2571635647
0.90000,1.7462809158,-0.2536710029
0.90200,1.7886707792,-0.2500936613
0.90400,1.8308586310,-0.2464319441
0.90600,1.8728054312,-0.2426863332
0.90800,1.9144728387,-0.2388573875
0.91000,1.9558232955,-0.2349457409
0.91200,1.9968201071,-0.2309521007
0.91400,2.0374275178,-0.2268772457
0.91600,2.0776107804,-0.2227220241
0.91800,2.1173362208,-0.2184873517
0.92000,2.1565712968,-0.2141742091
0.92200,2.1952846509,-0.2097836398
0.92400,2.2334461571,-0.2053167475
0.92600,2.2710269621,-0.2007746936
0.92800,2.3079995198,-0.1961586945
0.93000,2.3443376202,-0.1914700193
0.93200,2.3800164119,-0.1867099865
0.93400,2.4150124192,-0.1818799616
0.93600,2.4493035532,-0.1769813545
0.93800,2.4828691169,-0.1720156163
0.94000,2.5156898056,-0.1669842367
0.94200,2.5477477018,-0.1618887413
0.94400,2.5790262651,-0.1567306887
0.94600,2.6095103175,-0.1515116681
0.94800,2.6391860244,-0.1462332961
0.95000,2.6680408715,-0.1408972143
0.95200,2.6960636382,-0.1355050870
0.95400,2.7232443669,-0.1300585983
0.95600,2.7495743301,-0.1245594496
0.95800,2.7750459939,-0.1190093576
0.96000,2.7996529797,-0.1134100517
0.96200,2.8233900232,-0.1077632716
0.96400,2.8462529322,-0.1020707658
0.96600,2.8682385424,-0.0963342887
0.96800,2.8893446721,-0.0905555993
0.97000,2.9095700761,-0.0847364592
0.97200,2.9289143990,-0.0788786304
0.97400,2.9473781277,-0.0729838741
0.97600,2.9649625444,-0.0670539491
0.97800,2.9816696791,-0.0610906097
0.98000,2.9975022626,-0.0550956052
0.98200,3.0124636801,-0.0490706778
0.98400,3.0265579253,-0.0430175620
0.98600,3.0397895557,-0.0369379828
0.98800,3.0521636480,-0.0308336556
0.99000,3.0636857557,-0.0247062840
0.99200,3.0743618673,-0.0185575603
0.99400,3.0841983659,-0.0123891636
0.99600,3.0932019904,-0.0062027596
0.99800,3.1013797978,0.0000000000
