b,Average_Uy,Efficiency(%)
0.5,0.0645892162,0.044331047
1.0,0.0780087846,0.1191196345
1.5,0.0875482734,0.2079962436
2.0,0.0920753218,0.2866522306
2.5,0.0923899534,0.3410221845
3.0,0.0896931377,0.3681996082
3.5,0.0850523488,0.3717420663
4.0,0.0793014259,0.3577378817
4.5,0.0730450444,0.3324001345
5.0,0.0667010144,0.3009692797
5.5,0.060543184,0.2673710399
6.0,0.054737403,0.2342622241
6.5,0.0493770654,0.203293272
7.0,0.0445040239,0.1753484874
7.5,0.0401151256,0.150712858
8.0,0.036183086,0.1293209118
